archetype,market_id,day_ordinal,day_utc,day_start_utc,day_end_exclusive_utc,day_start_block,day_end_block_exclusive,status,opening_event_sequence,closing_event_sequence,opening_total_supply_assets,opening_total_supply_shares,opening_total_borrow_assets,opening_total_borrow_shares,opening_total_collateral_assets,closing_total_supply_assets,closing_total_supply_shares,closing_total_borrow_assets,closing_total_borrow_shares,closing_total_collateral_assets,total_event_count,supply_event_count,withdraw_event_count,borrow_event_count,repay_event_count,supply_collateral_event_count,withdraw_collateral_event_count,liquidate_event_count,accrue_interest_event_count,supply_assets_in,supply_shares_minted,withdraw_assets_out,withdraw_shares_burned,borrow_assets_out,borrow_shares_minted,repay_assets_in,repay_shares_burned,collateral_assets_in,collateral_assets_withdrawn,accrued_interest_assets,accrued_fee_shares,liquidation_repaid_assets,liquidation_repaid_shares,liquidation_seized_collateral_assets,liquidation_bad_debt_assets,liquidation_bad_debt_shares,first_event_block,last_event_block
accepted_drip_market,0x11d3bca0d1a9af8bf2982ef802f2971cf86043df1b31a044cacb35a8048156c6,180,2026-01-05,2026-01-05T00:00:00Z,2026-01-06T00:00:00Z,417976670,418322870,active,0,7,0,0,0,0,0,1001000,1001000000000,1000000,1000000000000,3810401857668561920,7,2,0,1,0,1,0,0,3,1001000,1001000000000,0,0,1000000,1000000000000,0,0,3810401857668561920,0,0,0,0,0,0,0,0,418109572,418109591
accepted_drip_market,0x11d3bca0d1a9af8bf2982ef802f2971cf86043df1b31a044cacb35a8048156c6,202,2026-01-27,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,425581371,425927717,active,547,621,1271162442138,1266131422079222065,1163298910844,1158216298159025943,1243044984328959324123046,2379457653405,2369825725153142687,2175834284808,2166110774634007548,2294510643755067149358295,74,16,8,13,0,13,0,0,24,1225360129958,1220468290432774032,117245908505,116773987358853410,1012354384150,1007894476474981605,0,0,1051465659426107825235249,0,180989814,0,0,0,0,0,0,425582329,425914401
accepted_drip_market,0x11d3bca0d1a9af8bf2982ef802f2971cf86043df1b31a044cacb35a8048156c6,404,2026-08-17,2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,495303648,495647034,active,7220,7259,1610332,1041352049795,2696,1719359673,109721638701193555,1610332,1041352049795,2696,1719359673,109721638701193555,39,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495308748,495643005
accepted_drip_market,0x14982da64b67967ef3a70c2f3b7d05518f7dd4ba98d850c40c46618c75059a64,0,2025-07-09,2025-07-09T13:00:00Z,2025-07-10T00:00:00Z,355887376,356045737,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x14982da64b67967ef3a70c2f3b7d05518f7dd4ba98d850c40c46618c75059a64,90,2025-10-07,2025-10-07T00:00:00Z,2025-10-08T00:00:00Z,386837514,387184021,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x14982da64b67967ef3a70c2f3b7d05518f7dd4ba98d850c40c46618c75059a64,91,2025-10-08,2025-10-08T00:00:00Z,2025-10-09T00:00:00Z,387184021,387530359,active,0,5,0,0,0,0,0,790000,790000000000,650000,650000000000,550000000000000000,5,1,0,1,0,1,0,0,2,790000,790000000000,0,0,650000,650000000000,0,0,550000000000000000,0,0,0,0,0,0,0,0,387326843,387327065
accepted_drip_market,0x14982da64b67967ef3a70c2f3b7d05518f7dd4ba98d850c40c46618c75059a64,202,2026-01-27,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,425581371,425927717,active,4497,4517,693404607841,684460557860887605,624028409448,614794312490383448,797751730371859066106080,680491434451,671622651339334520,624122565838,614794312490383448,797751730371859066106080,20,5,5,0,0,0,0,0,10,41014269216,40480926697572517,54021598996,53318833219125602,0,0,0,0,0,0,94156390,0,0,0,0,0,0,425786838,425916691
accepted_drip_market,0x14982da64b67967ef3a70c2f3b7d05518f7dd4ba98d850c40c46618c75059a64,404,2026-08-17,2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,495303648,495647034,active,9873,9873,21541648545,20066584530346599,18538828390,17092054301358776,28948623726511810148792,21541648545,20066584530346599,18538828390,17092054301358776,28948623726511810148792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x1a926ab8add08dca634f8d6cecd8c866e166a4affc65801beda9f239d21b622a,0,2025-07-09,2025-07-09T13:00:00Z,2025-07-10T00:00:00Z,355887376,356045737,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x1a926ab8add08dca634f8d6cecd8c866e166a4affc65801beda9f239d21b622a,54,2025-09-01,2025-09-01T00:00:00Z,2025-09-02T00:00:00Z,374383983,374730012,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
