event_family,event_count,share_of_events
Supply,238845,0.19395239154760763
Withdraw,226138,0.183633762146132
Borrow,45285,0.03677336369291135
Repay,32187,0.026137225509191515
SupplyCollateral,47604,0.03865649122750032
WithdrawCollateral,27868,0.022630012131921246
Liquidate,306,0.00024848513393023903
AccrueInterest,613229,0.4979682686108057
