block_number,transaction_index,log_index,transaction_hash,family,market_id,owner,caller,assets,shares,interest,fee_shares,repaid_assets,repaid_shares,seized_assets,bad_debt_assets,bad_debt_shares,topics_json,data
464085323,3,9,0x7d508aa58aa53d315a83994e07adb4b30d569af54b840e15a88a645059af71a0,AccrueInterest,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,,,,,5587345,0,,,,,,"[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868""]",0x000000000000000000000000000000000000000000000000000000003a98499200000000000000000000000000000000000000000000000000000000005541910000000000000000000000000000000000000000000000000000000000000000
464085323,3,10,0x7d508aa58aa53d315a83994e07adb4b30d569af54b840e15a88a645059af71a0,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0x6796d511cc01aaa8a3fbfdadf1f260b64aac21d9,0x9954afb60bb5a222714c478ac86990f221788b88,500000000,463332560951266,,,,,,,,"[""0x570954540bed6b1304a87dfe815a5eda4a648f7097a16240dcd85c9b5fd42a43"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000006796d511cc01aaa8a3fbfdadf1f260b64aac21d9"",""0x0000000000000000000000006796d511cc01aaa8a3fbfdadf1f260b64aac21d9""]",0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88000000000000000000000000000000000000000000000000000000001dcd65000000000000000000000000000000000000000000000000000001a56604b557e2
464086633,1,3,0xb8a5dd7ecfde2b3698449dc72fb544bfed5e676b37bdff154149b0042e93c9a3,SupplyCollateral,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0x1bc7a137169c456bd32ab1fa09f608b0248c8b5b,0x9954afb60bb5a222714c478ac86990f221788b88,255100,,,,,,,,,"[""0xa3b9472a1399e17e123f3c2e6586c23e504184d504de59cdaa2b375e880c6184"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88"",""0x0000000000000000000000001bc7a137169c456bd32ab1fa09f608b0248c8b5b""]",0x000000000000000000000000000000000000000000000000000000000003e47c
464086893,6,71,0xb575066cb8fa3f90b8c05e6367a634589e3786d363c1734cde6fef16857eb2f0,AccrueInterest,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,,,,,774866,0,,,,,,"[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868""]",0x000000000000000000000000000000000000000000000000000000003a99acfd00000000000000000000000000000000000000000000000000000000000bd2d20000000000000000000000000000000000000000000000000000000000000000
464086893,6,72,0xb575066cb8fa3f90b8c05e6367a634589e3786d363c1734cde6fef16857eb2f0,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0x1bc7a137169c456bd32ab1fa09f608b0248c8b5b,0x9954afb60bb5a222714c478ac86990f221788b88,50000000,46333238147453,,,,,,,,"[""0x570954540bed6b1304a87dfe815a5eda4a648f7097a16240dcd85c9b5fd42a43"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000001bc7a137169c456bd32ab1fa09f608b0248c8b5b"",""0x0000000000000000000000001bc7a137169c456bd32ab1fa09f608b0248c8b5b""]",0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b880000000000000000000000000000000000000000000000000000000002faf08000000000000000000000000000000000000000000000000000002a23cc33797d
464103369,5,18,0xbaa99d6c79328e768b286baae21644109c5e93bd9da4fa40226b6e9f8f8f8afb,AccrueInterest,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,,,,,8115754,0,,,,,,"[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868""]",0x000000000000000000000000000000000000000000000000000000003a98024200000000000000000000000000000000000000000000000000000000007bd62a0000000000000000000000000000000000000000000000000000000000000000
464103369,5,19,0xbaa99d6c79328e768b286baae21644109c5e93bd9da4fa40226b6e9f8f8f8afb,Repay,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0x6796d511cc01aaa8a3fbfdadf1f260b64aac21d9,0x9954afb60bb5a222714c478ac86990f221788b88,5771785025,5348488103080547,,,,,,,,"[""0x52acb05cebbd3cd39715469f22afbf5a17496295ef3bc9bb5944056c63ccaa09"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88"",""0x0000000000000000000000006796d511cc01aaa8a3fbfdadf1f260b64aac21d9""]",0x00000000000000000000000000000000000000000000000000000001580673410000000000000000000000000000000000000000000000000013006bed783263
464103369,5,22,0xbaa99d6c79328e768b286baae21644109c5e93bd9da4fa40226b6e9f8f8f8afb,WithdrawCollateral,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0x6796d511cc01aaa8a3fbfdadf1f260b64aac21d9,0x9954afb60bb5a222714c478ac86990f221788b88,10000000,,,,,,,,,"[""0xe80ebd7cc9223d7382aab2e0d1d6155c65651f83d53c8b9b06901d167e321142"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000006796d511cc01aaa8a3fbfdadf1f260b64aac21d9"",""0x0000000000000000000000006796d511cc01aaa8a3fbfdadf1f260b64aac21d9""]",0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b880000000000000000000000000000000000000000000000000000000000989680
464103875,1,4,0x8db6babeec2c1f91b247cd0bc275f3d49c1b69e6b4fabad5788fe7cde49562d1,SupplyCollateral,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0x6796d511cc01aaa8a3fbfdadf1f260b64aac21d9,0x9954afb60bb5a222714c478ac86990f221788b88,10000000,,,,,,,,,"[""0xa3b9472a1399e17e123f3c2e6586c23e504184d504de59cdaa2b375e880c6184"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88"",""0x0000000000000000000000006796d511cc01aaa8a3fbfdadf1f260b64aac21d9""]",0x0000000000000000000000000000000000000000000000000000000000989680
464103875,1,8,0x8db6babeec2c1f91b247cd0bc275f3d49c1b69e6b4fabad5788fe7cde49562d1,AccrueInterest,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,,,,,246505,0,,,,,,"[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868""]",0x000000000000000000000000000000000000000000000000000000003a7606d6000000000000000000000000000000000000000000000000000000000003c2e90000000000000000000000000000000000000000000000000000000000000000
464103875,1,9,0x8db6babeec2c1f91b247cd0bc275f3d49c1b69e6b4fabad5788fe7cde49562d1,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0x6796d511cc01aaa8a3fbfdadf1f260b64aac21d9,0x9954afb60bb5a222714c478ac86990f221788b88,5500000000,5096634889231365,,,,,,,,"[""0x570954540bed6b1304a87dfe815a5eda4a648f7097a16240dcd85c9b5fd42a43"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000006796d511cc01aaa8a3fbfdadf1f260b64aac21d9"",""0x0000000000000000000000006796d511cc01aaa8a3fbfdadf1f260b64aac21d9""]",0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b880000000000000000000000000000000000000000000000000000000147d3570000000000000000000000000000000000000000000000000000121b5cc81f5c05
464127130,5,58,0xc5ccb3f4f80850096d07eada041725bc34d46ff396819310cd537f2b44759d52,AccrueInterest,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,,,,,11435103,0,,,,,,"[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868""]",0x000000000000000000000000000000000000000000000000000000003a92187a0000000000000000000000000000000000000000000000000000000000ae7c5f0000000000000000000000000000000000000000000000000000000000000000
464127130,5,59,0xc5ccb3f4f80850096d07eada041725bc34d46ff396819310cd537f2b44759d52,Supply,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0x4739e2c293bdcd835829aa7c5d7fbdee93565d1a,0x4739e2c293bdcd835829aa7c5d7fbdee93565d1a,1809355752,1689603919372275,,,,,,,,"[""0xedf8870433c83823eb071d3df1caa8d008f12f6440918c20d75a3602cda30fe0"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000004739e2c293bdcd835829aa7c5d7fbdee93565d1a"",""0x0000000000000000000000004739e2c293bdcd835829aa7c5d7fbdee93565d1a""]",0x000000000000000000000000000000000000000000000000000000006bd893e8000000000000000000000000000000000000000000000000000600af916cdff3
464141395,12,61,0xcb99bc513453713064a3d7a180dea96011f56699cee8bc559ff84cd626184d16,AccrueInterest,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,,,,,6989166,0,,,,,,"[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868""]",0x000000000000000000000000000000000000000000000000000000003a854ada00000000000000000000000000000000000000000000000000000000006aa56e0000000000000000000000000000000000000000000000000000000000000000
464141395,12,62,0xcb99bc513453713064a3d7a180dea96011f56699cee8bc559ff84cd626184d16,Liquidate,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0x99830d477b11ca1b8d4ffd0f4c21c70fed7ded08,0x1c50aab45c939b18c66d780031c2e07aa93e73a1,,,,,24843418,23021211751017,34015,0,0,"[""0xa4946ede45d0c6f06a0f5ce92c9ad3b4751452d2fe0e25010783bcab57a67e41"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000001c50aab45c939b18c66d780031c2e07aa93e73a1"",""0x00000000000000000000000099830d477b11ca1b8d4ffd0f4c21c70fed7ded08""]",0x00000000000000000000000000000000000000000000000000000000017b149a000000000000000000000000000000000000000000000000000014f00b26126900000000000000000000000000000000000000000000000000000000000084df00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
464142192,6,14,0xf9a6b0b2b43883715e5122053a392f8b8745ca90e5245c06d6e450340abb9cab,SupplyCollateral,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0x4b15f6afe90542bcd9984c988d2bcb4dc4831b3e,0x9954afb60bb5a222714c478ac86990f221788b88,32692,,,,,,,,,"[""0xa3b9472a1399e17e123f3c2e6586c23e504184d504de59cdaa2b375e880c6184"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88"",""0x0000000000000000000000004b15f6afe90542bcd9984c988d2bcb4dc4831b3e""]",0x0000000000000000000000000000000000000000000000000000000000007fb4
464142742,3,16,0xe476bf55c307c14c55441ce8f725565defc34d4bf7e7bb3ee8896fee1821b196,AccrueInterest,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,,,,,657785,0,,,,,,"[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868""]",0x000000000000000000000000000000000000000000000000000000003a8371ca00000000000000000000000000000000000000000000000000000000000a09790000000000000000000000000000000000000000000000000000000000000000
464142742,3,17,0xe476bf55c307c14c55441ce8f725565defc34d4bf7e7bb3ee8896fee1821b196,Borrow,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0x4b15f6afe90542bcd9984c988d2bcb4dc4831b3e,0x9954afb60bb5a222714c478ac86990f221788b88,6100000,5652577495521,,,,,,,,"[""0x570954540bed6b1304a87dfe815a5eda4a648f7097a16240dcd85c9b5fd42a43"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000004b15f6afe90542bcd9984c988d2bcb4dc4831b3e"",""0x0000000000000000000000004b15f6afe90542bcd9984c988d2bcb4dc4831b3e""]",0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b8800000000000000000000000000000000000000000000000000000000005d14200000000000000000000000000000000000000000000000000000052417dfa9e1
464193468,2,5,0x3469773f94cd64ab858a86fc5401c495a78e5e6e2fb8ae461b6d11af6d6d4382,AccrueInterest,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,,,,,24835447,0,,,,,,"[""0x9d9bd501d0657d7dfe415f779a620a62b78bc508ddc0891fbbd8b7ac0f8fce87"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868""]",0x000000000000000000000000000000000000000000000000000000003a7dc29600000000000000000000000000000000000000000000000000000000017af5770000000000000000000000000000000000000000000000000000000000000000
464193468,2,6,0x3469773f94cd64ab858a86fc5401c495a78e5e6e2fb8ae461b6d11af6d6d4382,Repay,0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868,0xc0778aa3961508c53fa39ddb789fa78c8dd87587,0x9954afb60bb5a222714c478ac86990f221788b88,60026565676,55623049388854984,,,,,,,,"[""0x52acb05cebbd3cd39715469f22afbf5a17496295ef3bc9bb5944056c63ccaa09"",""0xed06d9e82d7c35ca80d3983194e15462a96202bd875800af18183321f4611868"",""0x0000000000000000000000009954afb60bb5a222714c478ac86990f221788b88"",""0x000000000000000000000000c0778aa3961508c53fa39ddb789fa78c8dd87587""]",0x0000000000000000000000000000000000000000000000000000000df9dcb42c00000000000000000000000000000000000000000000000000c59cde64258ec8
